"filename","samp_type","cruise","station","cast","depth","abs_depth","rosette","tripl","id","untripl","date_run","timestamp","time","lat","lon","DCM_depth","sla","local_hour","temp","sal","theta","dic","alk","ph","oxy_um","PAR","PAR_perc","no23_um","po4_um","DON_um","DOP_um","si_um","PC_um","PN_um","chl_ug","phaeo_ug","beam_atten","het_abund","pro_abund","syn_abund","euk_abund"
"180205_Smp_L2C2DCMplus10m_C.mzML","Smp","MC","L2",2,"DCMplus10m",133,NA,"C","L2C2DCM+10m_C","180205_Smp_L2C2DCMplus10m",2018-02-05,2018-02-08 07:46:41,2017-07-08 19:26:50,26.4993333333333,-158.4395,123,0.2513,9,21.222,35.256,21.196,2003.7,2319,8.059,214.028110599078,0.08934917,0.1783333,0.118475231099638,0.0653435760274332,NA,0.136875475666732,1.34956911041059,1.67803215319894,0.300175925283776,0.1818,0.4703,0.0313818181818182,3.718,0.421,0.001,0.015
"180205_Smp_L2C1DCMless10m_C.mzML","Smp","MC","L2",1,"DCMless10m",113,NA,"C","L2C1DCM-10m_C","180205_Smp_L2C1DCMless10m",2018-02-05,2018-02-08 08:37:09,2017-07-08 18:00:09,26.5011666666667,-158.440333333333,123,0.2514,8,22.231,35.207,22.208,2003.7,2319,8.059,214.695190380762,0.249646,0.4996667,0,0.0781626093487516,NA,0.139232905658047,1.21415229319787,2.22698668898027,0.327876014190633,0.2134,0.6017,0.0355,4.396,1.223,0.002,0.016
"180205_Smp_L1C33DCM_C.mzML","Smp","MC","L1",33,"DCM",103.5,18,"C","L1C33DCM_C","180205_Smp_L1C33DCM",2018-02-05,2018-02-08 09:27:42,2017-07-07 18:37:12,24.6968333333333,-158.6675,104,-0.1322,8,18.3955,34.929,18.3775,2020.8,2332,8.054,227.035294117647,0.6278308,1.245833,0,0.0951851759899318,NA,0.131791002183663,2.8633995414366,2.26349063312005,0.362995968882057,0.252677777777778,0.478472222222222,0.0472212121212121,4.80963888888889,0.882027777777778,0.00847222222222222,0.03275
"180205_Smp_L2C2DCMplus20m_C.mzML","Smp","MC","L2",2,"DCMplus20m",143,NA,"C","L2C2DCM+20m_C","180205_Smp_L2C2DCMplus20m",2018-02-05,2018-02-08 11:08:43,2017-07-08 19:26:50,26.4993333333333,-158.4395,123,0.2513,9,21.0075,35.256,20.9805,2003.7,2319,8.059,215.364516129032,0.05407,0.1074167,0.0866438751582992,0.0758687839088324,NA,0.12763485975931,1.54119898428614,1.27225217373061,0.232806595951109,0.147,0.3494,0.0279515151515152,3.484,0.285,0.001,0.012
"180205_Poo_TruePoo_Full3.mzML","Poo","MC",NA,NA,NA,NA,NA,NA,NA,NA,2018-02-05,2018-02-08 11:59:10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"180205_Std_4uMStdsInMatrix_2.mzML","Std","MC",NA,NA,NA,NA,NA,NA,NA,NA,2018-02-05,2018-02-08 13:40:14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"180205_Std_4uMStdsInH2O_2.mzML","Std","MC",NA,NA,NA,NA,NA,NA,NA,NA,2018-02-05,2018-02-08 14:30:42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"180821_Std_4uMStdsMix1InH2O_1.mzML","Std","MT",NA,NA,NA,NA,NA,NA,NA,NA,2018-08-21,2018-08-21 21:43:07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"180821_Std_4uMStdsMix2InH2O_1.mzML","Std","MT",NA,NA,NA,NA,NA,NA,NA,NA,2018-08-21,2018-08-21 22:33:38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"180821_Std_4uMStdsMix1InMatrix_1.mzML","Std","MT",NA,NA,NA,NA,NA,NA,NA,NA,2018-08-21,2018-08-21 23:24:10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
